Time,UHF1 Power
2022-12-09 03:00:00,1268
2022-12-10 03:00:00,1092
2022-12-11 03:00:00,1250
2022-12-12 03:00:00,1263
2022-12-13 03:00:00,1250
2022-12-14 03:00:00,1217
2022-12-15 03:00:00,1137
2022-12-16 03:00:00,1184
2022-12-17 03:00:00,1263
2022-12-18 03:00:00,1240
2022-12-19 03:00:00,1263
2022-12-20 03:00:00,1260
2022-12-21 03:00:00,1250
2022-12-22 03:00:00,1271
2022-12-23 03:00:00,1263
2022-12-24 03:00:00,1438
2022-12-25 03:00:00,1485
2022-12-26 03:00:00,1462
2022-12-27 03:00:00,1260
2022-12-28 03:00:00,1281
2022-12-29 03:00:00,1263
2022-12-30 03:00:00,1284
2022-12-31 03:00:00,1253
2023-01-01 03:00:00,1263
2023-01-02 03:00:00,1137
2023-01-03 03:00:00,1224
2023-01-04 03:00:00,1126
2023-01-05 03:00:00,1448
2023-01-06 03:00:00,1301
2023-01-07 03:00:00,1243
2023-01-08 03:00:00,1184
2023-01-09 03:00:00,1246
2023-01-10 03:00:00,1156
2023-01-11 03:00:00,1143
2023-01-12 03:00:00,1503
2023-01-13 03:00:00,1250
2023-01-14 03:00:00,1469
2023-01-15 03:00:00,1321
2023-01-16 03:00:00,1237
2023-01-17 03:00:00,1250
2023-01-18 03:00:00,1496
2023-01-19 03:00:00,1492
2023-01-20 03:00:00,1462
2023-01-21 03:00:00,1476
2023-01-22 03:00:00,1476
2023-01-23 03:00:00,1274
2023-01-24 03:00:00,1476
2023-01-25 03:00:00,1278
2023-01-26 03:00:00,1459
2023-01-27 03:00:00,1492
2023-01-28 03:00:00,1485
2023-01-29 03:00:00,1482
2023-01-30 03:00:00,1485
2023-01-31 03:00:00,1281
2023-02-01 03:00:00,1496
2023-02-02 03:00:00,1274
2023-02-03 03:00:00,1174
2023-02-04 03:00:00,1263
2023-02-05 03:00:00,1476
2023-02-06 03:00:00,1482
2023-02-07 03:00:00,1543
2023-02-08 03:00:00,1503
2023-02-09 03:00:00,1485
2023-02-10 03:00:00,1482
2023-02-11 03:00:00,1532
2023-02-12 03:00:00,1469
2023-02-13 03:00:00,1485
2023-02-14 03:00:00,1489
2023-02-15 03:00:00,1550
2023-02-16 03:00:00,1485
2023-02-17 03:00:00,1543
2023-02-18 03:00:00,1367
2023-02-19 03:00:00,1559
2023-02-20 03:00:00,1480
2023-02-21 03:00:00,1570
2023-02-23 03:00:00,1550
2023-02-24 03:00:00,1503
2023-02-25 03:00:00,1559
2023-02-26 03:00:00,1473
2023-02-27 03:00:00,1353
2023-02-28 03:00:00,1350
2023-03-01 03:00:00,1543
2023-03-02 03:00:00,1420
2023-03-03 03:00:00,1554
2023-03-04 03:00:00,1489
2023-03-05 03:00:00,1539
2023-03-06 03:00:00,1473
2023-03-07 03:00:00,1367
2023-03-09 03:00:00,1556
2023-03-11 03:00:00,1567
2023-03-13 03:00:00,1554
2023-03-15 03:00:00,1550
2023-03-16 03:00:00,1570
2023-03-17 03:00:00,1543
2023-03-18 03:00:00,1462
2023-03-19 03:00:00,1528
2023-03-20 03:00:00,1556
2023-03-21 03:00:00,1496
2023-03-22 03:00:00,1473
2023-03-23 03:00:00,1550
2023-03-24 03:00:00,1543
2023-03-25 03:00:00,1507
2023-03-26 03:00:00,1485
2023-03-27 03:00:00,1556
2023-03-28 03:00:00,1514
2023-03-29 03:00:00,1547
2023-03-30 03:00:00,1480
2023-03-31 03:00:00,1543
2023-04-01 03:00:00,1550
2023-04-02 03:00:00,1518
2023-04-03 03:00:00,1496
2023-04-04 03:00:00,1550
2023-04-05 03:00:00,1489
2023-04-06 03:00:00,1578
