:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2130 UT 07 Apr 2020
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2020 01 01     3  0 0 0 1 2 2 1 0     2  0 0 0 1 1 1 1 0     3  0 0 0 1 1 1 1 1
2020 01 02     2  0 1 0 1 1 1 1 1     2  0 0 1 1 0 1 2 0     3  0 0 1 1 0 1 1 1
2020 01 03     6  0 1 3 2 1 2 1 2     6  0 0 3 4 1 1 0 0     6  1 1 3 2 1 1 1 2
2020 01 04     5 -1-1 1 0 2 2 2 2     6  0 0 0 3 3 2 2 1     6  2 1 1 1 1 2 2 3
2020 01 05     7  2 1 2 1 2 1 3 2    10  1 1 1 1 4 2 3 3     9  2 1 2 1 2 2 4 3
2020 01 06     9  4 3 1 1 1 2 2 1     4  2 3 1 0 0 0 1 1     9  4 3 2 1 0 1 3 2
2020 01 07     4  1 2 0 1 1 1 1 2     2  0 0 0 0 1 1 1 1     5  1 2 1 1 1 1 2 2
2020 01 08     4  1 0 1 1 2 2 1 1     5  1 0 1 2 2 3 0 1     6  1 1 1 1 2 3 2 2
2020 01 09     8  2 2 3 2 2 2 2 1    32  1 2 6 6 5 4 1 2    12  3 3 4 2 2 3 2 2
2020 01 10     6  1 1 3 2 1 2 1 1    13  0 1 3 5 3 3 2 0     7  2 1 3 2 2 2 1 1
2020 01 11     4  1 2 3 1 1 1 0 0     7  1 2 3 3 1 3 0 0     6  2 2 2 1 1 2 1 1
2020 01 12     2  1 1 0 1 1 1 1 0     1  0 0 1 1 0 0 0 0     4  1 2 1 1 1 0 1 0
2020 01 13     2  0 1 1 0 1 1 0 0     0  0 0 1 0 0 0 0 0     3  1 1 1 0 1 0 1 1
2020 01 14     2  1 0 0 0 1 1 1 0     1  0 0 0 2 1 0 0 0     3  1 0 0 1 1 0 0 0
2020 01 15     2  0 0 0 2 1 1 0 1     4  0 0 0 4 0 0 0 1     4  1 0 0 2 1 1 1 1
2020 01 16     4  0 2 1 2 1 1 1 1     3  0 1 0 3 1 0 0 0     5  1 3 2 2 1 1 1 1
2020 01 17     2  0 1 1 0 1 1 1 0     1  0 0 0 0 0 2 0 0     3  1 1 1 0 0 1 1 1
2020 01 18     3  1 1 0 0 2 1 1 1     1  1 0 1 0 0 0 0 0     4  1 2 1 1 1 0 1 1
2020 01 19     2  0 1 0 1 1 1 1 1     1  0 0 1 1 0 0 0 0     3  0 1 0 1 1 1 1 1
2020 01 20     2  0 1 0 0 1 1 1 0     0  0 0 1 0 0 0 0 0     2  0 1 0 0 0 0 0 1
2020 01 21     4  0 0 0 1 2 2 2 2     7  0 0 2 2 2 4 1 1     6  0 0 1 1 1 2 3 2
